yesno_label	question	ideal_answer
0	Does Axitinib prolong survival of Pancreatic Cancer patients?	The addition of axitinib to gemcitabine does not improve overall survival in advanced pancreatic cancer.
1	Has protein citrullination been implicated in rheumatoid arthritis?	protein citrullination been implicated in rheumatoid arthritis.
1	Is TNNI3K a cardiac-specific protein?	TNNI3K is highly expressed in heart but is undetectable in other tissues.
1	Is muscle regeneration possible in mdx mice with the use of induced mesenchymal stem cells?	Purified induced mesenchymal stem cells (iMSCs) display fibroblast-like morphology, form three-dimensional spheroid structures, express characteristic mesenchymal stem cell surface markers such as CD29, CD33, CD73, CD90, and CD105, and are capable of differentiating into adipogenic, osteogenic, and chondrogenic lineages. Transplantation of iMSC cells to tibialis anterior skeletal muscle tissue in mdx mice lowers oxidative damage, and restores the expression levels of normal dystrophin, leading to skeletal muscle regeneration.
0	Is macitentan an ET agonist?	macitentan is anendothelin receptor antagonist.
1	Can NEECHAM Confusion Scale be used for evaluation of postoperative delirium?	NEECHAM Confusion Scale can be used for evaluation of postoperative delirium.
1	Can miR-122 target RUNX2?	miR-122 directly targets RUNX2.
1	Can Logic Alignment Free (LAF) be used for bacterial genomes classification?	Logic Alignment Free (LAF), a method that combines alignment-free techniques and rule-based classification algorithms can be used in order to assign biological samples to their taxa.
1	Do IEG create a ripple effect of transcription?	Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes.
1	Can Preimplantation Genetic Diagnosis (PGD) be used for gender selection?	Preimplantation Genetic Diagnosis can be used for gender selection.
1	Do thyroid hormone receptors change after brain injury?	thyroid hormone receptors increase after brain injury
1	Can protein coding exons originate from ALU sequences?	Intronic ALUs can evolve into exons by the activation of splice signals residing within the ALU sequence. While most ALU exons do not add or modify the coding capacity of the resulting transcript, examples have been identified of ALU exons becoming protein coding.
1	Are Sidekick proteins members of the immunoglobulin superfamily?	sidekick are cell adhesion molecules of the immunoglobulin superfamily.
0	Are adenylyl cyclases always transmembrane proteins?	Adenylyl cyclases exists both as transmembrane and soluble proteins.
1	Does triiodothyronine (T3) has cardiac angiogenic effects?	T3-induced cardiac sprouting angiogenesis in adult hypothyroid mice was associated with PDGF-BB, PDGFR-β and downstream activation of Akt. T(3) administration restored TRbeta mRNA expression level in AAC hearts to the control level. TRbeta in the coronary ECs regulates capillary density during cardiac development, and down-regulation of TRbeta results in coronary microvascular rarefaction during pathological hypertrophy.
1	Is the protein pelota a ribosomal rescue factor?	in eukaryotes, Pelota (Dom34 in yeast) and Hbs1 are responsible for solving general problems of ribosomal stall in translation.
1	Is tretinoin effective for photoaging?	Tretinoin is commonly used topically in the treatment of photoaging.
1	Can TAD disruption lead to disease?	TAD boundaries are insulators of genomic neighborhoods. Τhe disruption of these structures by genomic rearrangements can result in gene misexpression and disease.
1	Is eculizumab used for treatment of myasthenia gravis?	eculizumab is used for treatment of myasthenia gravis.
1	Is amantadine effective for treatment of disorders conciousness?	Amantadine, a dopaminergic agent, has been shown to be effective for induction of recovery from disorders of consciousness. Amantadine is a commonly prescribed medication for patients with prolonged disorders of consciousness after traumatic brain injury. Amantadine accelerates the pace of functional recovery during active treatment in patients with post-traumatic disorders of consciousness. Higher dosing of amantadine may be considered in the setting of brain injury.
1	Is it possible to purify pseudopodia to be used for proteomic analysis?	Pseudopodia can be purified, using different strategies, in order to be used in proteomic studies.
1	Is the circadian clock involved in ribosome biogenesis?	The circadian clock coordinates ribosome biogenesis. It influences the temporal translation of a subset of mRNAs involved in ribosome biogenesis by controlling the transcription of translation initiation factors as well as the clock-dependent rhythmic activation of signaling pathways involved in their regulation.
1	Is pregabalin effective for treatment of patients with restless leg syndrome?	numerous evidence from clinical trials indicate that pregabalic is effective for treatment of patients diagnosed with restless leg syndrome.
1	Can a given genotype exhibit opposite fitness effects (beneficial and detrimental) within the same environment?	A given genotype can be either beneficial or detrimental, even deleterious, depending on the environment in which an organism lives. This is known as antagonistic pleiotropy. Antagonistic pleiotropy can operate even within the same environment. For example, in Escherichia coli, certain mutations can exhibit beneficial, deleterious or neutral fitness effects at different growth rates. Also, antagonistic pleiotropy is involved in the evolution of ageing, since a certain genotype may affect late- and early-life fitness in opposite directions.
0	Is indicated the use of antioxidant supplements in patients at risk for coronary artery disease?	antioxidant supplementation  However there are no clear evidencies on the clinical and prognostic benefit of this supplementation.  Currently there areno recommendation for the antioxidant therapy in patients with coronary artery disease. Currently the American Heart Association recommends consumption of a balanced diet with emphasis on antioxidant-rich fruits and vegetables but does not recommend antioxidant supplementation for the general population.
1	Is there a sequence bias in MNase digestion patterns?	The cutting preference of MNase in combination with size selection generates a sequence-dependent bias in the resulting fragments.
1	Is Stat4 a transcription factor?	Stat4 is a transcription factor. Stat4 is a member of the signal transducer and activator of transcription (STAT) family of molecules that localizes to the cytoplasm. STAT4 regulates various genes expression as a transcription factor after it is phosphorylated, dimerizes and translocates to the nucleus.
1	Can exposure to heavy metals like lead(Pb) or cadmium(Cd) cause changes in DNA methylation patterns in Isoetes sinensis?	Changes in DNA methylation of the endangered plant, Isoetes sinensis, have be shown to be affected by both Pb and Cd
1	Does the TOP2B/TOP2A expression ratio affect the response to AML chemotherapy?	High TOP2B/TOP2A expression ratio at diagnosis correlates with favourable outcome for standard chemotherapy in acute myeloid leukaemia Genes with distinct expression profiles such as TOP2B/TOP2A expression ratio at diagnosis can be employed for outcome prediction after the treatment with standard regimens in AML patients with M2 subtype.
1	Is JTV519 (K201) a potential drug for the prevention of arrhythmias?	JTV519 has antiarrhythmic properties.
1	Is the yeast (Saccharomyces cerevisiae) genome organized into topologically associated domains (TADs)?	By analyzing Hi-C data for budding yeast, 200-kb scale topologically associated domains (TADs) have been identified, whose boundaries are enriched for transcriptional activity.
1	Can RNAPolII function as an RNA-dependent RNA-polymerase?	RNA polymerase II (Pol II) is a well-characterized DNA-dependent RNA polymerase, which has also been reported to have RNA-dependent RNA polymerase (RdRP) activity. Pol II can use a homopolymeric RNA template, can extend RNA by several nucleotides in the absence of DNA, and has been implicated in the replication of the RNA genomes of hepatitis delta virus (HDV) and plant viroids. The RdRP activity of Pol II provides a missing link in molecular evolution, because it suggests that Pol II evolved from an ancient replicase that duplicated RNA genomes.
1	Is there any protein that undergoes both mono-ubiquitination and poly-ubiquitination?	there are some rare cases where a protein can be both mono-ubiquitinated and poly-ubiquitinated.
0	Does gepotidacin activate bacterial topoisomerase?	gepotidacin is a bacterial topoisomerase inhibitor.
1	Are there ultraconserved genomic regions in the budding yeast?	In addition to some fundamental biological functions, ultraconserved genomic regions play an important role in the adaptation of S. cerevisiae to the acidic environment.
1	Is Kummell’s disease an avascular necrosis of the vertebral body?	Kummell’s disease is an avascular necrosis of the vertebral body.
0	Do Crocus sativus extracts loosen the blood-brain barrier?	in vitro and in vivo experiments show that the Crocus sativus extract increases the tightness of a cell-based blood-brain barrier (BBB).
0	Are hepadnaviral minichromosomes free of nucleosomes?	Nucleosomes along viral cccDNA in the minichromosomes are not random but sequence-specifically positioned.
1	Is myasthenia gravis associated with osteoporosis?	Myasthenia gravis (MG) is a neuromuscular disease which has been associated with an increased risk of glucocorticoid-induced osteoporosis. Thymectomy can also increase risk for osteoporosis. Appropriate osteoporosis preventive measures can reduce osteoporosis risk in MG patients.
0	Do histone variant mH2A (macro-H2A) levels decrease upon differentiation?	MacroH2A.1 was found to be present at low levels upon the establishment of pluripotency in the inner cell mass and epiblast, but it was highly enriched in the trophectoderm and differentiated somatic cells later in mouse development. Chromatin immunoprecipitation revealed that macroH2A.1 is incorporated in the chromatin of regulatory regions of pluripotency genes in somatic cells such as mouse embryonic fibroblasts and adult neural stem cells, but not in embryonic stem cells. In addition, overexpression of macroH2A isoforms prevented efficient reprogramming of epiblast stem cells to naïve pluripotency.
0	Do cephalopods use RNA editing less frequently than other species?	Extensive messenger RNA editing generates transcript and protein diversity in genes involved in neural excitability, as previously described, as well as in genes participating in a broad range of other cellular functions.
0	Does Uc.160 promote cancer?	Uc.160+ is a T-UCR reported to be downregulated in human cancer. In addition, Uc.160+ could possibly have a tumor suppressive role in gastric cancer.
0	Does SARM1 deletion cause neurodegeneration?	Mouse strain with Sarm1 deletion (Sarm1-/-) is highly resistant to axon neurodegeneration.
1	Is there any association between the human gut microbiome and depression?	Scientific findings are suggestive of the possibility that dysregulation of the enteric microbiota (i.e., dysbiosis) and associated bacterial translocation across the intestinal epithelium may be involved in the pathophysiology of stress-related psychiatric disorders, particularly depression.
0	Does the human lncRNA LINC-PINT promote tumorigenesis?	LINC-PINT is downregulated in multiple types of cancer and acts as a tumor suppressor lncRNA by reducing the invasive phenotype of cancer cells.
1	Does thyroid hormone affect cardiac remodeling?	TH affects cardiac remodeling
1	Is the PTPN22 gene a biomarker for Rheumatoid Arthritis?	Most association studies have indeed confirmed an association between mutations at the PTPN22 gene and rheumatoid arthritis
1	Can FOXOs modulate longevity?	FOXOs are reliable markers of longevity.
1	Is exome sequencing efficient for the detection of germline mutations?	Exome sequencing is an efficient, sensitive, rapid and relatively cheap method for detection of germline mutations.
0	Are Copy Number Variants (CNVs) depleted in regions of low mappability?	Low-mappability regions are approximately 5 times more likely to harbor germline CNVs, in stark contrast to the nearly uniform distribution observed for somatic CNVs in 95 cancer genomes.
1	Is skin color affected by variations of the SLC24A5 gene?	The alleles of single-nucleotide polymorphisms rs1426654 and rs1834640 (SLC24A5) are associated with light skin pigmentation in Eurasian population.
1	Is there an association between Muenke Syndrome and FGFR3 gene mutation?	Muenke syndrome is caused by point mutation (C749G) in the Fibroblast Growth Factor Receptor3 (FGFR3) gene. It affects 1 in 30,000 newborns and accounts for 25% to 30% of genetic causes of craniosynostosis.
1	Is dupilumab effective for treatment of asthma?	dupilumab is effective for treatment of asthma. It works by simultaneous targeting of both IL-4 and IL-13 by blocking IL-4 receptor α.
1	Is triadin involved in cardiac function?	triadin is involved in the regulation of cardiac excitation-contraction coupling.
1	Is pseudouridine a RNA modification?	pseudouridine (Ψ) is the most abundant of>150 nucleoside modifications in RNA.
1	Do Conserved noncoding elements act as enhancers?	An important percentage of noncoding elements conserved across distant species shows enhancer activity and other forms of regulatory functionality.
1	Is phospholipid hydroperoxide glutathione peroxidase a selenoprotein?	the phospholipid hydroperoxide glutathione peroxidase (PHGPx/GPx4) is  the major selenoprotein.
0	Does d-tubocurarine (d-TC) induces irreversible inhibition of nicotinic acetylcholine receptor (nAChR) at the neuromuscular junction?	The d-tubocurarine is a nondepolarizing neuromuscular blocking agent (nondepolarizing muscle relaxant - NDMR). The nondepolarizing muscle relaxants act by blocking the nicotinic acetylcholine receptors of the neuromuscular junction. The neuromuscular blocking action of tubocurarine is reversible and concentration-dependent. The inhibition of acetylcholine-induced currents by d-tubocurarine can be reversed by anticholinesterase agents, such as edrophonium and methamidophos.
1	Is Apremilast effective for Behcet’s syndrome?	Apremilast was proven to be effective for treatment of Behcet’s syndrome.
1	Are there web based self management strategies for chronic pain ?	Results suggest the potential value of self-management for chronic pain patients and the potential acceptability of web-based delivery of intervention content.
1	Are CTCF and BORIS involved in genome regulation and cancer?	CTCF is ubiquitously expressed and plays diverse roles in gene regulation, imprinting, insulation, intra/interchromosomal interactions, nuclear compartmentalisation, and alternative splicing. CTCF has a single paralogue, the testes-specific CTCF-like gene (CTCFL)/BORIS. CTCF and BORIS can be deregulated in cancer. The tumour suppressor gene CTCF can be mutated or deleted in cancer, or CTCF DNA binding can be altered by epigenetic changes. BORIS is aberrantly expressed frequently in cancer, leading some to propose a pro-tumourigenic role for BORIS. However, BORIS can inhibit cell proliferation, and is mutated in cancer similarly to CTCF suggesting BORIS activation in cancer may be due to global genetic or epigenetic changes typical of malignant transformation.
0	Is there increased recombination rate in human regulatory domains?	There is evidence of significantly reduced recombination rate compared to matched control regions at human regulatory domains.
0	Is LDB1-mediated enhancer looping dependent on cohesin?	LDB1-mediated enhancer looping can be established independent of mediator and cohesin.
1	Is STAT3 transcription factor regulated by mTORC1?	mTORC1 was found to regulate STAT3 activity in, at least, three ways: 1) after induction by IL6, 2) by direct phosphorylation during hypoxia, to promote HIF-1α mRNA transcription, and 3) after activation by excess amino acids, which then positively regulate Notch1 expression through STAT3 activation.
1	Could divalent metal transporter 1 deficiency lead to anemia?	divalent metal transporter 1 (DMT1) deficiency could result in anemia, as DMT1 is a major iron transporter required for iron absorption and erythropoiesis. DMT1 deficiency impairs erythroid differentiation and induces apoptosis of erythroid cells.
1	Is there a genome-wide technique for the detection of R-loop formation?	Genome-wide analysis of fragile sites by chromatin immunoprecipitation (ChIP) and microarray (ChIP-chip) of phosphorylated H2A in these mutants supported a transcription-dependent mechanism of DNA damage characteristic of R loops. Here we show that recombination factors are required for the survival of yeast FACT mutants, consistent with an accumulation of DNA breaks that we detected by Rad52 foci and transcription-dependent hyperrecombination. The latter pathway operates on nascent transcripts that are not simultaneously translated and requires factors Rho, NusG, and NusA, each of which is essential for viability of WT Escherichia coli. DNA replication in Escherichia coli is normally initiated at a single origin, oriC, dependent on initiation protein DnaA.
1	Is Loss of function one of the cardinal signs of inflammation?	Functio Laesa also known as loss of function is considered to be the 5th cardinal sign of inflammation.
1	Are there any urine biomarkers for chronic kidney disease?	Chronic kidney disease (CKD), is a progressive loss in renal function over a period of months or years. The symptoms of worsening kidney function are non-specific, and might include feeling generally unwell and experiencing a reduced appetite. Often, chronic kidney disease is diagnosed as a result of screening of people known to be at risk of kidney problems, such as those with high blood pressure or diabetes and those with a blood relative with chronic kidney disease. Chronic kidney disease may also be identified when it leads to one of its recognized complications, such as cardiovascular disease, anemia or pericarditis. It is differentiated from acute kidney disease in that the reduction in kidney function must be present for over 3 months.
0	Is myc a tumour suppressor gene?	Myc is a proto-oncogene.
1	Is Lasmiditan effective for migraine?	Lasmiditan is effective for treatment of migraine. This has been demonstrated in clinical trials.
0	Is patisiran currently (November 2017) in clinical phase II trials?	patisiran is in phase 3 clinical studies.
0	Tocilizumab is an anti-TNF antibody, yes or no?	Tocilizumab (TCZ) is a humanized monoclonal antibody against IL-6 receptor licensed in 2009 that has demonstrated clinical efficacy in various adult RA populations.
1	Is oxalate renal excretion increased after bariatric surgery?	Bariatric surgery is associated with a significant risk of nephrolithiasis. Enteric hyperoxaluria, nephrolithiasis, and oxalate nephropathy must be considered with the other risks of bariatric surgery Hyperoxaluria in patients treated with bariatric surgery was found to be a result of hyperabsorption of oxalate
0	Are there canonical marks of active chromatin in developmentally regulated genes?	The transcription of genes temporally regulated during fly and worm development occurs in the absence of canonically active histone modifications. Conversely, strong chromatin marking is related to transcriptional and post-transcriptional stability, an association also observed in mammals. Consequently, chromatin marking is associated with the stable production of RNA, whereas unmarked chromatin would permit rapid gene activation and deactivation during development. In the latter case, regulation by transcription factors would have a comparatively more important regulatory role than chromatin marks.
1	Is Musclin a secretory peptide?	musclin has been described as a muscle-derived secretory peptide.
1	Can mutations in Calmodulin cause ventricular fibrillation?	mutations in CALM underly IVF manifesting in childhood and adolescence.
1	Is muscle lim protein (MLP) involved in cardiomyopathies?	The skeletal muscle LIM protein 1 (SLIM1) is highly expressed in skeletal and cardiac muscle, and its expression is downregulated significantly in dilated human cardiomyopathy. Loss of murine MLP results in dilated cardiomyopathy, and mutations in human MLP lead to cardiac hypertrophy, indicating a critical role for MLP in maintaining normal cardiac function.
1	Was modafinil tested for schizophrenia treatment?	Modafinil has been shown to improve attention, memory, executive function and antipsychotic-induced parkinsonism in  patients with schizophrenia. However, some authors have failed to demonstrate beneficial action of modafinil for schizophrenia.
1	Are paralog genes co-regulated?	Paralog genes arise from gene duplication events during evolution, which often lead to similar proteins that cooperate in common pathways and in protein complexes. Consequently, paralogs show correlation in gene expression.
0	Is celecoxib effective for treatment of amyotrophic lateral sclerosis?	In clinical trial celecoxib did not have a beneficial effect on research subjects with ALS, and it was safe. A biological effect of celecoxib was not demonstrated in the cerebrospinal fluid. Further studies of celecoxib at a dosage of 800 mg/day in ALS were not recommended.
1	Could DNA (cytosine-5-)-methyltransferases serve as tumour markers?	It has been demonstrated in a number of experimental studies that DNA (Cytosine-5-)-methyltransferases (DNMT1, DNMT3A and DNMT3B) are deregulated in several types of cancer (invasive cervical cancer, colon cancer, esophageal squamous cell carcinoma (ESCC), gastric cancer, embryonal carcinoma, cervical cancer, adenoma, adenoid cystic carcinoma, salivary gland neoplasms). Moreover, three single nucleotide polymorphisms (SNPs) of the DNMT3B promoter region have been reported to be stratification markers that can predict an individual's susceptibility to cancers. Therefore,  DNA (Cytosine-5-)-methyltransferases can serve as tumour markers.
1	Can Alzheimer's disease related miRNAs be detected in patients' blood?	It has been demonstrated that blood miRNAs could be useful as biomarkers in Alzheimer's disease.
1	Is depression associated with poor prognosis of brain tumor patients?	In brain tumor patients depression is associated with shorter survival and worse functional outcomes.
1	Is micro RNA 1 (miR-1) implicated in cardiac arrhythmias?	miR-1 overexpression may contribute to the increased susceptibility of the heart to AVB, which provides us novel insights into the molecular mechanisms underlying ischemic cardiac arrhythmias. As miR-1 has been shown in animal models and clinical studies to contribute to arrhythmogenesis by regulating pacemaker channel genes, our finding of miR-1 up-regulation in patients with myocardial infarction indicates that it might be responsible for the higher risk for arrhythmias in these patients.
1	Is Melioidosis caused by the bacterium Burkholderia pseudomallei?	Burkholderia pseudomallei is the causative agent of melioidosis
1	Is EZH2 associated with prostate cancer?	EZH2 is an epigenetic driver of prostate cancer. EZH2 dependent H3K27me3 is involved in epigenetic silencing of ID4 in prostate cancer. EZH2 plays an active role in this process by repressing the expression of TIMP2 and TIMP3 in prostate cancer cells. EZH2 knockdown markedly reduces the proteolytic activity of MMP-9, thereby decreasing the invasive activity of prostate cancer cells. Composite index of c-Myc, EZH2, and p27 can be valued as powerful prognosis parameter for intermediate-risk prostate cancer patients after the surgery, and postoperative adjuvant therapy can be adopted accordingly.
1	Is the gene DUX4 epigenetically regulated in somatic cells?	The human double-homeodomain retrogene DUX4 is expressed in the testis and epigenetically repressed in somatic tissues. Recent studies provide evidence that  DUX4 is expressed in the human germline and then epigenetically silenced in somatic cells.
0	Are there any desmins present in plants?	Desmins are type III intermediate filament (IF) proteins that have been identified to date only in metazoa (human, Danio rerio, bovine). Desmins are also associated with severe forms of skeletal, cardiac and myofibrillar myopathies.
0	Are there graph kernel libraries available implemented in JAVA?	Measuring the similarity of graphs is a fundamental step in the analysis of graph-structured data, which is omnipresent in computational biology. Graph kernels have been proposed as a powerful and efficient approach to this problem of graph comparison. Graphkernels are the first R and Python graph kernel libraries including baseline kernels such as label histogram based kernels, classic graph kernels such as random walk based kernels, and the state-of-the-art Weisfeiler-Lehman graph kernel. The core of all graph kernels is implemented in C ++ for efficiency. Using the kernel matrices computed by the package, one can perform tasks such as classification, regression and clustering on graph-structured samples.
0	Is Solanezumab effective for Alzheimer's Disease?	Solanezumab, a humanized monoclonal antibody that binds amyloid, failed to improve cognition or functional ability in patients with Alzheimer's Disease.
0	Is subacute sclerosing panencephalitis caused by the Measles vaccine?	Subacute sclerosing panencephalitis is caused by the Measles and can be prevented by the measles vaccine.
1	Does molindone affect body weight?	molindone has a tendency to cause weight loss or limited weight gain.
1	Are viruses involved in the etiology of human subacute thyroiditis?	Subacute thyroiditis (SAT) is an inflammatory disorder of the thyroid caused probably by viruses The principal classes of viruses involed  in SAT include Epstein Barr and Retroviridae
1	Can tetracycline affect tooth formation?	Tetracycline is incorporated in the teeth during their formation and leads to their permanent staining. A definite relationship between total dosage and staining and duration of administration and staining was established; the condition occurred with greater frequency (in more than one-third of the children) when the total dosage exceeded 3 g. or the duration of treatment was longer than 10 days.
1	Is vortioxetine effective for treatment of depression?	Vortioxetine is the most recently approved medication for the treatment of major depressive disorder.
1	Is lenvatinib effective for renal cell carcinoma?	combination of lenvatinib and everolimus is approved to treat advanced or metastatic renal cell carcinoma.
0	Does Groucho related gene 5 (GRG5) have a role only in late development?	Groucho related gene 5 (GRG5) has been described as a multifunctional protein that has been implicated in late embryonic and postnatal mouse development. By both loss and gain of function approaches ablation of GRG5 has been shown to deregulate the Embryonic Stem Cell (ESC) pluripotent state whereas its overexpression leads to enhanced self-renewal and acquisition of cancer cell-like properties. The malignant characteristics of teratomas generated by ESCs that overexpress GRG5 reveal its pro-oncogenic potential.
1	Is NOD1 activated in inflammation?	d proteins fight off bacterial infections by stimulating proinflammatory signaling and cytokine networks and by inducing antimicrobial effectors, such as nitric oxide and antimicrobial peptides. NOD1 engagement generates an inflammatory response via activation of NFκB and MAPK pathways and several inflammatory disorders, such as Crohn's disease and asthma, are linked to genetic changes in either Nod1 or Nod2. Nod1 is also critically implicated in shaping adaptive immune responses towards bacterial-derived constituents. Together, Nod1 and Nod2 represent central players in the control of immune responses to bacterial infections and inflammation. Mice deficient for both Nod1 and Nod2 had attenuated inflammatory pathology, reduced levels of inflammatory cytokines, and increased colonization of the mucosal tissue
1	Are integrins part of the extracellular matrix?	integrins are a central family of extracellular matrix receptors.
1	Is cocaine use associated with increased risk for intracerebral hemorrhage?	Cocaine use is associated with increased incidence of intracranial hemorrhages most likely due to pressure increases.
1	Is there any role of TBR1 in autism?	Exome sequencing studies have identified multiple genes harboring de novo loss-of-function (LoF) variants in individuals with autism spectrum disorders (ASD), including T-Brain-1 (TBR1), a master regulator of cortical development. T-brain-1 (TBR1) is a brain-specific T-box transcription factor. In 1995, Tbr1 was first identified from a subtractive hybridization that compared mouse embryonic and adult telencephalons. Previous studies of Tbr1 (-∕-) mice have indicated critical roles for TBR1 in the development of the cerebral cortex, amygdala, and olfactory bulb. Neuronal migration and axonal projection are two important developmental features controlled by TBR1.
1	Can breastfeeding confer protection from type I diabetes?	In the neonate and infant lactation confers protection from future type 1 diabetes.
1	Does ziconotide bind to N-type calcium channels?	ziconotide/omega-conotoxin MVIIA blocks N-type calcium channels.
0	Does International Citicoline Trial on acUte Stroke trial supports efficacy of citicoline for stroke treatment?	The International Citicoline Trial on acUte Stroke (ICTUS) found that citocoline is not efficacious in the treatment of moderate-to-severe acute ischaemic stroke.
1	Can beans induce apoptosis?	White kidney bean lectin  has been shown to exert anti-proliferative and apoptotic effects on cancer cells
1	Is Titin the largest single protein molecule found in Nature?	Titin, is definitely the largest protein in the body, with a molecular weight of 3 million Dalton and composed of 27,000 amino acids. Titin is the largest protein known to date and acts as a mechanosensor that regulates muscle protein expression in a sarcomere strain-dependent fashion.
0	Is tirilazad effective for treatment of aneurysmal subarachnoid haemorrhage?	Based on meta-analysis, there is no evidence that tirilazad, in addition to nimodipine, reduces mortality or improves poor outcome in patients with aneurysmal subarachnoid haemorrhage.
1	Does neuroglobin has neuroprotective properties in the setting of traumatic brain injury?	neuroglobin has neuroprotective properties in the setting of traumatic brain injury.
1	Is there any link between the aurora B kinase and the polycomb protein ring1B?	The aurora B kinase and the polycomb protein ring1B combine to regulate active promoters in quiescent lymphocytes.
1	Is NSD-1015 an inhibitor of Aromatic L-Amino Acid Decarboxylase?	NSD-1015 is an ihnibitor of Aromatic L-Amino Decarboxylase.
1	Are osteoclasts specialized in bone degradation?	Bone degradation is caused by osteoclasts, the normal bone-resorbing cells.
1	Could bioprinting be used in regenerative medicine against bone disease?	The developments in bioprinting (3D cell printing) techniques will be used in regenerative medicine and may allow the fabrication of customized implants for patients suffering in bone diseases in the future, once several technological limitations are addressed.
1	Are alterations in ultraconserved elements implicated in breast cancer?	SNPs in ultraconserved elements (UCEs) might be associated with cancer risk.
1	Is phospholamban phosphorylated by Protein kinase A?	Phospholamban (PLB) is a sarcoplasmic reticulum (SR) protein that is phosphorylated at Ser16 by PKA. Phosphorylation of PLB by PKA reverses the inhibitory action of PLB.
0	Are long non coding RNAs as conserved in sequence as protein coding genes?	Most long non coding RNAs  (lncRNAs) are under lower sequence constraints than protein-coding genes.
1	Is Obeticholic Acid used for treatment of Primary Biliary Cholangitis?	obeticholic acid is a farnesoid-X receptor agonist that is approved for the treatment of primary biliary cholangitis in combination with ursodeoxycholic acid in adults with an inadequate response to ursodeoxycholic acid, or as monotherapy in adults unable to tolerate ursodeoxycholic acid.
1	Is creatinine assessment included in the MELD score?	creatinine is included in the Model For End-Stage Liver Disease (MELD) score. Other components of the MELD score are international normalized ratio and serum billirubin. The MELD score is used for evaluation of liver cirrhosis.
1	Is celiac disease caused by gliadin-induced transglutaminase-2 (TG2)-dependent events ?	Celiac disease is caused by gliadin-induced transglutaminase-2 (TG2)-dependent events following ingestion of dietary gluten.
1	Are microRNA (miR) regulated through DNA methylation of their promoters?	Dysregulation of miRNA expression involved in cancer and Alzheimer's disease can be triggered by multiple mechanisms including aberrant DNA methylation of the miRNA gene promoter. Epigenetic dysregulation of tumor-suppressor miRNA genes by promoter DNA methylation has been implicated in human cancers, including multiple myeloma (MM).
1	Do chromatin features predict genes associated with eQTLs?	genomic proximity plus five TF and chromatin features are able to predict>90% of target genes within 1 megabase of eQTLs
1	Does replication timing affect the rate of somatic mutations?	Mutation rate, as reflected in recent evolutionary divergence and human nucleotide diversity, is markedly increased in later-replicating regions of the human genome. All classes of substitutions are affected, suggesting a generalized mechanism involving replication time-dependent DNA damage. DNA repair systems, in general, are less efficient in late replicating heterochromatic regions compared to early replicating euchromatic regions of the genome. In yeast the mutation rate increases with the replication timing by more than 30% between the earliest and the latest replicating regions. Limited evidence from one chromosome arm in Drosophila melanogaster suggests the opposite pattern, with regions overlapping early-firing origins showing increased levels of diversity and divergence. In humans DNA replication patterns help shape the mutational landscapes of normal and cancer genomes.
1	Have machine learning methods been used to predict the severity of major depressive disorder(MDD)?	Machine-learning (ML) models developed from self-reports can be used to predict persistence and severity of major depressive disorder(MDD)
1	Can simvastatin alleviate depressive symptoms?	simvastatin decreases depressive symptoms.
1	Has Glucose-6-phosphate dehydrogenase (G6PD) deficiency an X-linked inheritance?	Glucose-6-phosphate dehydrogenase (G6PD) deficiency is the commonest red cell enzymopathy in humans and has an X-linked inheritance.
1	Is the length of the poly(A) tail involved in human disease?	Severely truncated poly(A) tails of mitochondrial mRNAs were found to be involved in an autosomal recessive spastic ataxia with optic atrophy.
0	Is single-cell analysis (SCA) possible in proteomics?	it is not yet feasible, although smaller pilot studies has been performed where a limited number of proteins has been analysed.
1	Is propranolol used for treatment of infantile hemangioma?	propranolol is becoming the treatment of choice for complicated infantile hemangioma.
1	Has field-programmable gate array (FPGA) technology been used to solve sequence alignment problems?	Field-Programmable Gate Arrays (FPGAs) are reconfigurable computing platforms that have found several applications in diverse domains, including  digital signal processing, medical imaging and bioinformatics. Specific applications of FPGAs for biological sequence alignment have been reported for dynamic programming-based pairwise (local or global) sequence alignment, progressive multiple sequence alignment, profile alignment, Burrows-Wheeler transform (BWT) based alignment, heuristic pairwise alignment.
1	Is RANKL secreted from the cells?	Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.
1	In clinical trials, the H3 R antagonist CEP-26401 has a positive effect on cognition, yes or no?	The H3 R antagonist CEP-26401 had an effect on cognition.
1	Is Alpers disease inherited in an autosomal recessive mode?	Alpers disease is a fatal neurogenetic disorder first described more than 70 years ago. It is an autosomal recessive, developmental mitochondrial DNA depletion disorder characterized by deficiency in mitochondrial DNA polymerase gamma (POLG) catalytic activity, refractory seizures, neurodegeneration, and liver disease.
1	Does splicing occur co-transcriptionally?	The consensus view, based on four organisms, is that the majority of splicing events take place co-transcriptionally in most cells and tissues. RNA processing events that take place on the transcribed pre-mRNA include capping, splicing, editing, 3' processing, and polyadenylation. Most of these processes occur co-transcriptionally while the RNA polymerase II (Pol II) enzyme is engaged in transcriptional elongation.
